Wyniki z wykonanych testow nie wykazuja roznic miedzy szybkoscia
dzialania kompilacji na roznych trybach optymalizacji (-O0 ... -Os)

Powtarzajac wiele razy pomiary uzyskiwane wyniki nieco sie roznily,
co wynika ze sposobu dzialania systemu operacyjnego i roznego przydzielenia
czasu procesora. Prawdopodobnie wlasnie przez to nie mozna zauwazyc roznic.

test_static_optimize-O0
Measurement            Real[s]   Real[n]  utime[s]  stime[s] cutime[s] cstime[s]
Measurement            Real[s]   Real[n]  utime[s]  stime[s] cutime[s] cstime[s]
big_search                   3 165115859      0.00      0.00      1.12      2.02
medium_search                0 803662097      0.00      0.00      0.33      0.45
small_search                 0 069937641      0.00      0.00      0.03      0.05
big_store                    0 061875911      0.00      0.06      0.00      0.00
medium_store                 0 009196104      0.00      0.01      0.00      0.00
small_store                  0 000893275      0.00      0.00      0.00      0.00
big_data_delete              0 004100136      0.00      0.00      0.00      0.00
medium_data_delete           0 000890974      0.00      0.00      0.00      0.00
small_data_delete            0 000091519      0.00      0.00      0.00      0.00
data_block_test              0 157778339      0.00      0.16      0.00      0.00

test_dynamic_optimize-O0
Measurement            Real[s]   Real[n]  utime[s]  stime[s] cutime[s] cstime[s]
big_search                   3 194216912      0.00      0.00      1.25      1.90
medium_search                0 811231635      0.00      0.00      0.31      0.48
small_search                 0 069127493      0.00      0.00      0.02      0.04
big_store                    0 062956820      0.00      0.06      0.00      0.00
medium_store                 0 009210652      0.00      0.01      0.00      0.00
small_store                  0 000909471      0.00      0.00      0.00      0.00
big_data_delete              0 004111174      0.00      0.01      0.00      0.00
medium_data_delete           0 000891067      0.00      0.00      0.00      0.00
small_data_delete            0 000094036      0.00      0.00      0.00      0.00
data_block_test              0 158275394      0.00      0.16      0.00      0.00

test_dynamic_optimize-O1
Measurement            Real[s]   Real[n]  utime[s]  stime[s] cutime[s] cstime[s]
big_search                   3 173965087      0.00      0.00      1.15      1.98
medium_search                0 821108890      0.00      0.00      0.29      0.51
small_search                 0 083674002      0.00      0.00      0.04      0.04
big_store                    0 063225842      0.00      0.06      0.00      0.00
medium_store                 0 009304792      0.00      0.01      0.00      0.00
small_store                  0 000899325      0.00      0.00      0.00      0.00
big_data_delete              0 004249844      0.00      0.00      0.00      0.00
medium_data_delete           0 000851697      0.00      0.01      0.00      0.00
small_data_delete            0 000094018      0.00      0.00      0.00      0.00
data_block_test              0 167865947      0.00      0.16      0.00      0.00

test_dynamic_optimize-O2
Measurement            Real[s]   Real[n]  utime[s]  stime[s] cutime[s] cstime[s]
big_search                   3 227387723      0.00      0.00      1.17      1.97
medium_search                0 801436707      0.00      0.00      0.31      0.48
small_search                 0 069830048      0.00      0.00      0.03      0.03
big_store                    0 060932643      0.00      0.06      0.00      0.00
medium_store                 0 009170523      0.00      0.01      0.00      0.00
small_store                  0 000909373      0.00      0.00      0.00      0.00
big_data_delete              0 004469734      0.00      0.00      0.00      0.00
medium_data_delete           0 000929273      0.00      0.00      0.00      0.00
small_data_delete            0 000098788      0.00      0.00      0.00      0.00
data_block_test              0 169854533      0.00      0.17      0.00      0.00

test_dynamic_optimize-O3
Measurement            Real[s]   Real[n]  utime[s]  stime[s] cutime[s] cstime[s]
big_search                   3 593302337      0.00      0.00      1.33      1.84
medium_search                0 801342729      0.00      0.00      0.29      0.50
small_search                 0 072105447      0.00      0.00      0.03      0.04
big_store                    0 060798859      0.00      0.06      0.00      0.00
medium_store                 0 009215202      0.00      0.01      0.00      0.00
small_store                  0 000898451      0.00      0.00      0.00      0.00
big_data_delete              0 004442419      0.00      0.00      0.00      0.00
medium_data_delete           0 000863620      0.00      0.00      0.00      0.00
small_data_delete            0 000090941      0.00      0.00      0.00      0.00
data_block_test              0 169506213      0.00      0.17      0.00      0.00

test_dynamic_optimize-Os
Measurement            Real[s]   Real[n]  utime[s]  stime[s] cutime[s] cstime[s]
big_search                   3 161153602      0.00      0.00      1.19      1.94
medium_search                0 804528090      0.00      0.00      0.32      0.47
small_search                 0 069218563      0.00      0.00      0.03      0.04
big_store                    0 063013812      0.00      0.06      0.00      0.00
medium_store                 0 013697377      0.00      0.01      0.00      0.00
small_store                  0 000942931      0.00      0.01      0.00      0.00
big_data_delete              0 004337763      0.00      0.00      0.00      0.00
medium_data_delete           0 000899725      0.00      0.00      0.00      0.00
small_data_delete            0 000092157      0.00      0.00      0.00      0.00
data_block_test              0 168029132      0.00      0.17      0.00      0.00

