test_static_optimize-O0
Measurement            Real[s]      Real[n]  utime[s]  stime[s] cutime[s] cstime[s]
medium_data_delete           0       193313      0.00      0.00      0.00      0.00
small_data_delete            0         1338      0.00      0.00      0.00      0.00
data_block_test              4     15925384      0.00      0.00      1.53      2.44

test_dynamic_optimize-O0
Measurement            Real[s]      Real[n]  utime[s]  stime[s] cutime[s] cstime[s]
big_search                   3    115340408      0.00      0.00      1.26      1.82
medium_search                0    814436287      0.00      0.00      0.24      0.54
small_search                 0     71418567      0.00      0.00      0.02      0.06
big_store                    0      2801973      0.00      0.00      0.00      0.00
medium_store                 0      2230489      0.00      0.00      0.00      0.00
small_store                  0        28577      0.00      0.00      0.00      0.00
big_data_delete              0       755451      0.00      0.00      0.00      0.00
medium_data_delete           0       218080      0.00      0.00      0.00      0.00
small_data_delete            0         1426      0.00      0.00      0.00      0.00
data_block_test              3    967281926      0.00      0.00      1.51      2.40

test_dynamic_optimize-O1
Measurement            Real[s]      Real[n]  utime[s]  stime[s] cutime[s] cstime[s]
big_search                   3     84185659      0.00      0.00      1.18      1.85
medium_search                0    801592882      0.00      0.00      0.28      0.52
small_search                 0     71653332      0.00      0.00      0.01      0.06
big_store                    0      2483569      0.00      0.00      0.00      0.00
medium_store                 0      2299518      0.00      0.00      0.00      0.00
small_store                  0        27217      0.00      0.00      0.00      0.00
big_data_delete              0       264062      0.00      0.00      0.00      0.00
medium_data_delete           0       226527      0.00      0.00      0.00      0.00
small_data_delete            0         1234      0.00      0.00      0.00      0.00
data_block_test              4    147961430      0.00      0.00      1.54      2.55

test_dynamic_optimize-O2
Measurement            Real[s]      Real[n]  utime[s]  stime[s] cutime[s] cstime[s]
big_search                   3    215355553      0.00      0.00      1.28      1.88
medium_search                0    796539887      0.00      0.00      0.33      0.47
small_search                 0     77179463      0.00      0.00      0.02      0.04
big_store                    0      2287083      0.00      0.00      0.00      0.00
medium_store                 0      2292907      0.00      0.00      0.00      0.00
small_store                  0        31802      0.00      0.00      0.00      0.00
big_data_delete              0       244557      0.00      0.00      0.00      0.00
medium_data_delete           0       219842      0.00      0.00      0.00      0.00
small_data_delete            0         1328      0.00      0.00      0.00      0.00
data_block_test              4     41798981      0.00      0.01      1.52      2.47

test_dynamic_optimize-O3
Measurement            Real[s]      Real[n]  utime[s]  stime[s] cutime[s] cstime[s]
big_search                   3    166026292      0.00      0.00      1.12      1.99
medium_search                0    802808426      0.00      0.00      0.33      0.47
small_search                 0     70326296      0.00      0.00      0.02      0.04
big_store                    0      2417268      0.00      0.00      0.00      0.00
medium_store                 0      2192351      0.00      0.00      0.00      0.00
small_store                  0        26971      0.00      0.00      0.00      0.00
big_data_delete              0       402008      0.00      0.00      0.00      0.00
medium_data_delete           0       410975      0.00      0.00      0.00      0.00
small_data_delete            0         1386      0.00      0.00      0.00      0.00
data_block_test              3    967561033      0.00      0.01      1.48      2.42

test_dynamic_optimize-Os
Measurement            Real[s]      Real[n]  utime[s]  stime[s] cutime[s] cstime[s]
big_search                   3     80663112      0.00      0.00      1.09      1.95
medium_search                0    806952961      0.00      0.00      0.32      0.48
small_search                 0     75680044      0.00      0.00      0.03      0.04
big_store                    0      2543207      0.00      0.00      0.00      0.00
medium_store                 0      2172505      0.00      0.00      0.00      0.00
small_store                  0        26708      0.00      0.00      0.00      0.00
big_data_delete              0       247331      0.00      0.00      0.00      0.00
medium_data_delete           0       199579      0.00      0.00      0.00      0.00
small_data_delete            0         1265      0.00      0.00      0.00      0.00
data_block_test              3    976497068      0.00      0.01      1.54      2.39

