Wyniki z wykonanych testów nie wykazują różnic między szybkością
działania kompilacji na różnych trybach optymalizacji (-O0 ... -Os)

Powtarzając wiele razy pomiary uzyskiwane wyniki nieco się różniły,
co wynika ze sposobu działania systemu operacyjnego i różnego przydzielenia
czasu procesora. Prawdopodobnie właśnie przez to nie można zauważyć różnic.

test_static_optimize-O0
Measurement            Real[s]      Real[n]  utime[s]  stime[s] cutime[s] cstime[s]
medium_search                0    814768662      0.00      0.00      0.30      0.50
small_search                 0     75282881      0.00      0.00      0.02      0.05
big_store                    0      2532245      0.00      0.00      0.00      0.00
medium_store                 0      2362283      0.00      0.00      0.00      0.00
small_store                  0        27328      0.00      0.00      0.00      0.00
big_data_delete              0       272507      0.00      0.00      0.00      0.00
medium_data_delete           0       338663      0.00      0.00      0.00      0.00
small_data_delete            0         1643      0.00      0.00      0.00      0.00
data_block_test              4    187355850      0.00      0.01      1.58      2.45

test_dynamic_optimize-O0
Measurement            Real[s]      Real[n]  utime[s]  stime[s] cutime[s] cstime[s]
big_search                   3    228196710      0.00      0.00      1.29      1.87
medium_search                0    806754635      0.00      0.00      0.27      0.53
small_search                 0     79096852      0.00      0.00      0.02      0.05
big_store                    0      2432090      0.00      0.00      0.00      0.00
medium_store                 0      2419220      0.00      0.00      0.00      0.00
small_store                  0        27666      0.00      0.00      0.00      0.00
big_data_delete              0       268766      0.00      0.00      0.00      0.00
medium_data_delete           0       225543      0.00      0.00      0.00      0.00
small_data_delete            0         1226      0.00      0.00      0.00      0.00
data_block_test              4     94074862      0.00      0.00      1.51      2.52

test_dynamic_optimize-O1
Measurement            Real[s]      Real[n]  utime[s]  stime[s] cutime[s] cstime[s]
big_search                   3    219567155      0.00      0.00      1.21      1.96
medium_search                0    806312131      0.00      0.00      0.29      0.49
small_search                 0     77412379      0.00      0.00      0.04      0.04
big_store                    0      2426905      0.00      0.00      0.00      0.00
medium_store                 0      2551750      0.00      0.00      0.00      0.00
small_store                  0        26220      0.00      0.00      0.00      0.00
big_data_delete              0      3778302      0.00      0.00      0.00      0.00
medium_data_delete           0       328741      0.00      0.00      0.00      0.00
small_data_delete            0         1542      0.00      0.00      0.00      0.00
data_block_test              4     70453336      0.00      0.00      1.47      2.55

test_dynamic_optimize-O2
Measurement            Real[s]      Real[n]  utime[s]  stime[s] cutime[s] cstime[s]
big_search                   3    178343438      0.00      0.00      1.23      1.91
medium_search                0    812588676      0.00      0.00      0.24      0.55
small_search                 0     77868489      0.00      0.00      0.04      0.04
big_store                    0      2730857      0.00      0.00      0.00      0.00
medium_store                 0      2453692      0.00      0.00      0.00      0.00
small_store                  0        30817      0.00      0.00      0.00      0.00
big_data_delete              0       235450      0.00      0.00      0.00      0.00
medium_data_delete           0       240535      0.00      0.00      0.00      0.00
